x-axis,y-axis,ice_thickness,ice_velocity,ice_mask,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-1337600,3040000,0.0,,4,546.317932129,266.901916504,272.842254639,3321260.8690074314,5.94033813499999,266.7960998536,272.832891846,539.0697998048001
-1216000,3040000,0.0,,4,525.335876465,266.538787842,272.781280518,3274180.2027377784,6.24249267600004,266.46767171233336,272.7849833171667,529.9670817058334
-1094400,3040000,0.0,,4,515.289245605,266.182617188,272.733276367,3230992.318158618,6.550659178999979,266.08758544933335,272.738301595,519.236790975
-972800,3040000,0.0,,4,506.943145752,265.830535889,272.698181152,3191855.2348125065,6.867645263000043,265.71996053083336,272.70440165183334,512.2365163168333
-851200,3040000,0.0,,4,501.92364502,265.492553711,272.672576904,3156919.612533712,7.180023192999954,265.40011088066666,272.6849060056667,508.5569915773333
-729600,3040000,0.0,,4,511.163726807,265.242523193,272.658416748,3126326.3041467695,7.415893554999968,265.15261840833335,272.67948913566664,507.9463195803333
-608000,3040000,0.0,,4,519.699035645,265.066436768,272.654907227,3100203.8642644132,7.588470459000007,264.97948201500003,272.67965189616666,507.89901224799996
-486400,3040000,0.0,,4,521.374023438,264.905426025,272.653167725,3078666.10076507,7.747741700000006,264.8556671143333,272.67966715516667,509.50084431999994
-364800,3040000,0.0,,4,530.660461426,264.760803223,272.652435303,3061809.7654818464,7.891632080000022,264.76732381183336,272.67639160166664,515.7872619631667
-243200,3040000,0.0,,4,541.443603516,264.693450928,272.652313232,3049712.4848090187,7.958862303999979,264.7394765218333,272.67497253416667,522.7474517823333
-121600,3040000,0.0,,4,533.43359375,264.751617432,272.65524292,3042431.027977463,7.903625487999989,264.77931722,272.679804484,524.3066609701667
0,3040000,0.0,,4,523.63470459,264.894439697,272.675720215,3040000.0,7.781280518000017,264.865137736,272.6983133951667,519.8252970378334
121600,3040000,0.0,,4,518.752380371,265.020477295,272.719482422,3042431.027977463,7.699005127000021,264.976949056,272.72216796883333,513.2659657796667
243200,3040000,0.0,,4,508.150024414,265.163391113,272.740631104,3049712.4848090187,7.577239990999999,265.0952148436667,272.7598571776667,506.78522237149997
364800,3040000,0.0,,4,504.425445557,265.278106689,272.806335449,3061809.7654818464,7.52822875999999,265.23802185049993,272.81276448566666,500.01069641116663
486400,3040000,0.0,,4,501.648498535,265.40914917,272.89465332,3078666.10076507,7.485504149999997,265.4062906898334,272.888829549,495.59197489433336
608000,3040000,0.0,,4,498.575592041,265.585327148,272.972930908,3100203.8642644132,7.387603760000047,265.62003580716663,272.974685669,496.7838846841667
729600,3040000,0.0,,4,513.290710449,265.832733154,273.04864502,3126326.3041467695,7.215911865999999,265.8716430663333,273.0703633626667,509.33031209316664
851200,3040000,0.0,,4,547.595214844,266.117797852,273.138305664,3156919.612533712,7.0205078119999484,266.134165446,273.21250915549996,535.4326731365001
972800,3040000,0.0,,4,584.740112305,266.383300781,273.356781006,3191855.2348125065,6.973480225000003,266.38153076183335,273.38839721683337,570.546020508
1094400,3040000,0.0,,4,624.694274902,266.61227417,273.564025879,3230992.318158618,6.951751709000007,266.6257222493333,273.5693766276667,611.6111958821667
1216000,3040000,0.0,,4,678.544250488,266.875305176,273.696838379,3274180.2027377784,6.821533203000001,266.9055989583333,273.7141571045,657.9170633951668
1337600,3040000,0.0,,4,732.7890625,267.223876953,273.818084717,3321260.8690074314,6.594207763999975,267.17894897459996,273.8094421388,692.647644043
-1580800,2918400,0.0,,4,545.603759766,268.018676758,273.039855957,3319034.076354143,5.02117919899996,267.7813232422,272.99733276379993,554.3413696288001
-1459200,2918400,0.0,,4,555.681030273,267.343841553,272.922912598,3262870.392767693,5.579071044999978,267.24400547585714,272.9090009418571,553.5740618024286
-1337600,2918400,0.0,,4,542.687744141,266.800079346,272.839782715,3210332.1198904016,6.039703368999994,266.734752655125,272.83284378075,547.6345443725
