x-axis,y-axis,ice_thickness,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-3040000,3040000,0.0,729.484313965,292.419525146,9.969209968390001e+36,4299209.229614209,9.969209968390001e+36,278.64528656000005,9.969209968390001e+36,705.745742798
-2918400,3040000,0.0,694.597717285,273.805786133,9.969209968390001e+36,4214102.343322952,9.969209968390001e+36,276.91727701816666,9.969209968390001e+36,703.5924682618333
-2796800,3040000,0.0,692.034973145,273.378845215,9.969209968390001e+36,4130821.9811558085,9.969209968390001e+36,273.4248097738334,9.969209968390001e+36,696.0447896323334
-2675200,3040000,0.0,678.951782227,272.875427246,9.969209968390001e+36,4049480.8358603204,9.969209968390001e+36,272.9193979898333,9.969209968390001e+36,685.3432210288333
-2553600,3040000,0.0,659.565612793,272.366668701,9.969209968390001e+36,3970198.100850888,9.969209968390001e+36,272.38592529283335,9.969209968390001e+36,666.4534505211667
-2432000,3040000,0.0,640.620910645,271.821868896,9.969209968390001e+36,3893099.536359172,9.969209968390001e+36,271.86972045883334,9.969209968390001e+36,640.0166931155
-2310400,3040000,0.0,614.719421387,271.245941162,9.969209968390001e+36,3818317.451443764,9.969209968390001e+36,271.3849589028333,9.969209968390001e+36,604.9576721193333
-2188800,3040000,0.0,571.42376709,270.742950439,9.969209968390001e+36,3745990.581942245,9.969209968390001e+36,270.915456136,9.969209968390001e+36,565.5797627766667
-2067200,3040000,0.0,528.238647461,270.327392578,9.969209968390001e+36,3676263.842544493,9.969209968390001e+36,270.44138590483334,9.969209968390001e+36,532.400878906
-1945600,3040000,0.0,508.816009521,269.905578613,9.969209968390001e+36,3609287.929772298,9.969209968390001e+36,269.90658569333334,9.969209968390001e+36,517.8097839353334
-1824000,3040000,0.0,520.369628906,269.332183838,9.969209968390001e+36,3545218.7520659426,9.969209968390001e+36,269.309290568,9.969209968390001e+36,522.6913045246666
-1702400,3040000,0.0,544.931213379,268.66998291,9.969209968390001e+36,3484216.663756719,9.969209968390001e+36,268.66835021983337,8.307674973658334e+36,537.1810302735
-1580800,3040000,0.0,559.712280273,268.025634766,9.969209968390001e+36,3426445.481836826,9.969209968390001e+36,268.01315307633337,6.646139978926668e+36,550.031616211
-1459200,3040000,0.0,560.937744141,267.369873047,9.969209968390001e+36,3372071.26852325,9.969209968390001e+36,267.41000366233334,3.323069989463334e+36,551.8234151205
-1337600,3040000,0.0,546.317932129,266.901916504,272.842254639,3321260.8690074314,5.94033813499999,266.8917287191667,1.661534994731667e+36,542.7144571941667
-1216000,3040000,0.0,525.335876465,266.538787842,272.781280518,3274180.2027377784,6.24249267600004,266.46767171233336,272.7849833171667,529.9670817058334
-1094400,3040000,0.0,515.289245605,266.182617188,272.733276367,3230992.318158618,6.550659178999979,266.08758544933335,272.738301595,519.236790975
-972800,3040000,0.0,506.943145752,265.830535889,272.698181152,3191855.2348125065,6.867645263000043,265.71996053083336,272.70440165183334,512.2365163168333
-851200,3040000,0.0,501.92364502,265.492553711,272.672576904,3156919.612533712,7.180023192999954,265.40011088066666,272.6849060056667,508.5569915773333
-729600,3040000,0.0,511.163726807,265.242523193,272.658416748,3126326.3041467695,7.415893554999968,265.15261840833335,272.67948913566664,507.9463195803333
-608000,3040000,0.0,519.699035645,265.066436768,272.654907227,3100203.8642644132,7.588470459000007,264.97948201500003,272.67965189616666,507.89901224799996
-486400,3040000,0.0,521.374023438,264.905426025,272.653167725,3078666.10076507,7.747741700000006,264.8556671143333,272.67966715516667,509.50084431999994
-364800,3040000,0.0,530.660461426,264.760803223,272.652435303,3061809.7654818464,7.891632080000022,264.76732381183336,272.67639160166664,515.7872619631667
-243200,3040000,0.0,541.443603516,264.693450928,272.652313232,3049712.4848090187,7.958862303999979,264.7394765218333,272.67497253416667,522.7474517823333
-121600,3040000,0.0,533.43359375,264.751617432,272.65524292,3042431.027977463,7.903625487999989,264.77931722,272.679804484,524.3066609701667
0,3040000,0.0,523.63470459,264.894439697,272.675720215,3040000.0,7.781280518000017,264.865137736,272.6983133951667,519.8252970378334
121600,3040000,0.0,518.752380371,265.020477295,272.719482422,3042431.027977463,7.699005127000021,264.976949056,272.72216796883333,513.2659657796667
