x-axis,y-axis,ice_velocity,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-3040000,3040000,,729.484313965,292.419525146,9.969209968390001e+36,4299209.229614209,9.969209968390001e+36,275.0262756346875,9.969209968390001e+36,692.9147834778751
-2918400,3040000,,694.597717285,273.805786133,9.969209968390001e+36,4214102.343322952,9.969209968390001e+36,274.523651123,9.969209968390001e+36,688.68071594245
-2796800,3040000,,692.034973145,273.378845215,9.969209968390001e+36,4130821.9811558085,9.969209968390001e+36,274.1014035542084,9.969209968390001e+36,681.0199178060833
-2675200,3040000,,678.951782227,272.875427246,9.969209968390001e+36,4049480.8358603204,9.969209968390001e+36,273.7416654313928,9.969209968390002e+36,669.6047494072143
-2553600,3040000,,659.565612793,272.366668701,9.969209968390001e+36,3970198.100850888,9.969209968390001e+36,272.61037445067853,9.969209968390002e+36,650.1545170376429
-2432000,3040000,,640.620910645,271.821868896,9.969209968390001e+36,3893099.536359172,9.969209968390001e+36,272.09410640171427,9.969209968390002e+36,627.6957964217142
-2310400,3040000,,614.719421387,271.245941162,9.969209968390001e+36,3818317.451443764,9.969209968390001e+36,271.5450657435714,9.613166755233216e+36,605.2577231271786
-2188800,3040000,,571.42376709,270.742950439,9.969209968390001e+36,3745990.581942245,9.969209968390001e+36,270.98216901507135,9.25712354207643e+36,585.2683519636429
-2067200,3040000,,528.238647461,270.327392578,9.969209968390001e+36,3676263.842544493,9.969209968390001e+36,270.41220855710714,8.545037115762858e+36,568.3362840925714
-1945600,3040000,,508.816009521,269.905578613,9.969209968390001e+36,3609287.929772298,9.969209968390001e+36,269.8251756940714,7.476907476292501e+36,556.2662113735
-1824000,3040000,,520.369628906,269.332183838,9.969209968390001e+36,3545218.7520659426,9.969209968390001e+36,269.19927542550005,6.408777836822143e+36,551.6243220737857
-1702400,3040000,,544.931213379,268.66998291,9.969209968390001e+36,3484216.663756719,9.969209968390001e+36,268.55637250628575,4.984604984195001e+36,551.1862008231071
-1580800,3040000,,559.712280273,268.025634766,9.969209968390001e+36,3426445.481836826,9.969209968390001e+36,267.9361267089643,3.5604321315678573e+36,552.2110704694643
-1459200,3040000,,560.937744141,267.369873047,9.969209968390001e+36,3372071.26852325,9.969209968390001e+36,267.3486971173929,2.4923024920975003e+36,552.6939304896786
-1337600,3040000,,546.317932129,266.901916504,272.842254639,3321260.8690074314,5.94033813499999,266.8090449742143,1.424172852627143e+36,549.5854110717858
