x-axis,y-axis,precipitation,precip_1,precip_2,precip_3,precip_4,precip_5,precip_6,precip_7,precip_8
-3040000,3040000,729.484313965,,,,694.597717285,707.027648926,691.873291016,,
-2918400,3040000,694.597717285,,,,692.034973145,706.536865234,707.027648926,691.873291016,729.484313965
-2796800,3040000,692.034973145,,,,678.951782227,697.119750977,706.536865234,707.027648926,694.597717285
-2675200,3040000,678.951782227,,,,659.565612793,677.850341797,697.119750977,706.536865234,692.034973145
-2553600,3040000,659.565612793,,,,640.620910645,644.612304688,677.850341797,697.119750977,678.951782227
-2432000,3040000,640.620910645,,,,614.719421387,602.731567383,644.612304688,677.850341797,659.565612793
-2310400,3040000,614.719421387,,,,571.42376709,555.638061523,602.731567383,644.612304688,640.620910645
-2188800,3040000,571.42376709,,,,528.238647461,520.727111816,555.638061523,602.731567383,614.719421387
-2067200,3040000,528.238647461,,,,508.816009521,509.561676025,520.727111816,555.638061523,571.42376709
-1945600,3040000,508.816009521,,,,520.369628906,519.145629883,509.561676025,520.727111816,528.238647461
-1824000,3040000,520.369628906,,,,544.931213379,533.323669434,519.145629883,509.561676025,508.816009521
-1702400,3040000,544.931213379,,,,559.712280273,545.603759766,533.323669434,519.145629883,520.369628906
-1580800,3040000,559.712280273,,,,560.937744141,555.681030273,545.603759766,533.323669434,544.931213379
-1459200,3040000,560.937744141,,,,546.317932129,542.687744141,555.681030273,545.603759766,559.712280273
-1337600,3040000,546.317932129,,,,525.335876465,525.326416016,542.687744141,555.681030273,560.937744141
-1216000,3040000,525.335876465,,,,515.289245605,524.845275879,525.326416016,542.687744141,546.317932129
-1094400,3040000,515.289245605,,,,506.943145752,517.680786133,524.845275879,525.326416016,525.335876465
-972800,3040000,506.943145752,,,,501.92364502,506.736999512,517.680786133,524.845275879,515.289245605
-851200,3040000,501.92364502,,,,511.163726807,506.89364624,506.736999512,517.680786133,506.943145752
-729600,3040000,511.163726807,,,,519.699035645,501.260864258,506.89364624,506.736999512,501.92364502
-608000,3040000,519.699035645,,,,521.374023438,487.0027771,501.260864258,506.89364624,511.163726807
-486400,3040000,521.374023438,,,,530.660461426,497.007904053,487.0027771,501.260864258,519.699035645
-364800,3040000,530.660461426,,,,541.443603516,517.234802246,497.007904053,487.0027771,521.374023438
-243200,3040000,541.443603516,,,,533.43359375,516.704345703,517.234802246,497.007904053,530.660461426
-121600,3040000,533.43359375,,,,523.63470459,513.388916016,516.704345703,517.234802246,541.443603516
0,3040000,523.63470459,,,,518.752380371,513.037841797,513.388916016,516.704345703,533.43359375
121600,3040000,518.752380371,,,,508.150024414,502.63192749,513.037841797,513.388916016,523.63470459
243200,3040000,508.150024414,,,,504.425445557,493.7137146,502.63192749,513.037841797,518.752380371
364800,3040000,504.425445557,,,,501.648498535,489.494567871,493.7137146,502.63192749,508.150024414
486400,3040000,501.648498535,,,,498.575592041,485.694030762,489.494567871,493.7137146,504.425445557
608000,3040000,498.575592041,,,,513.290710449,491.999908447,485.694030762,489.494567871,501.648498535
729600,3040000,513.290710449,,,,547.595214844,518.826416016,491.999908447,485.694030762,498.575592041
851200,3040000,547.595214844,,,,584.740112305,556.143676758,518.826416016,491.999908447,513.290710449
972800,3040000,584.740112305,,,,624.694274902,591.276428223,556.143676758,518.826416016,547.595214844
1094400,3040000,624.694274902,,,,678.544250488,634.268432617,591.276428223,556.143676758,584.740112305
1216000,3040000,678.544250488,,,,732.7890625,685.929931641,634.268432617,591.276428223,624.694274902
1337600,3040000,732.7890625,,,,766.453735352,731.706542969,685.929931641,634.268432617,678.544250488
1459200,3040000,766.453735352,,,,780.931884766,753.117736816,731.706542969,685.929931641,732.7890625
1580800,3040000,780.931884766,,,,797.230224609,772.596984863,753.117736816,731.706542969,766.453735352
1702400,3040000,797.230224609,,,,803.022460938,791.596313477,772.596984863,753.117736816,780.931884766
1824000,3040000,803.022460938,,,,806.630187988,808.398986816,791.596313477,772.596984863,797.230224609
1945600,3040000,806.630187988,,,,817.553039551,824.302490234,808.398986816,791.596313477,803.022460938
2067200,3040000,817.553039551,,,,846.530700684,844.045715332,824.302490234,808.398986816,806.630187988
2188800,3040000,846.530700684,,,,889.405212402,884.820495605,844.045715332,824.302490234,817.553039551
2310400,3040000,889.405212402,,,,919.341674805,932.677856445,884.820495605,844.045715332,846.530700684
2432000,3040000,919.341674805,,,,921.22467041,948.428710938,932.677856445,884.820495605,889.405212402
2553600,3040000,921.22467041,,,,893.696838379,925.073242188,948.428710938,932.677856445,919.341674805
2675200,3040000,893.696838379,,,,856.487487793,892.065246582,925.073242188,948.428710938,921.22467041
2796800,3040000,856.487487793,,,,815.508239746,847.025512695,892.065246582,925.073242188,893.696838379
2918400,3040000,815.508239746,,,,820.287536621,793.044921875,847.025512695,892.065246582,856.487487793
3040000,3040000,820.287536621,,,,,,793.044921875,847.025512695,815.508239746
-3040000,2918400,691.873291016,,729.484313965,694.597717285,707.027648926,701.741882324,691.089599609,,
-2918400,2918400,707.027648926,729.484313965,694.597717285,692.034973145,706.536865234,697.206237793,701.741882324,691.089599609,691.873291016
-2796800,2918400,706.536865234,694.597717285,692.034973145,678.951782227,697.119750977,690.97454834,697.206237793,701.741882324,707.027648926
-2675200,2918400,697.119750977,692.034973145,678.951782227,659.565612793,677.850341797,680.096618652,690.97454834,697.206237793,706.536865234
-2553600,2918400,677.850341797,678.951782227,659.565612793,640.620910645,644.612304688,639.002624512,680.096618652,690.97454834,697.119750977
-2432000,2918400,644.612304688,659.565612793,640.620910645,614.719421387,602.731567383,585.124816895,639.002624512,680.096618652,677.850341797
-2310400,2918400,602.731567383,640.620910645,614.719421387,571.42376709,555.638061523,548.642150879,585.124816895,639.002624512,644.612304688
-2188800,2918400,555.638061523,614.719421387,571.42376709,528.238647461,520.727111816,532.721374512,548.642150879,585.124816895,602.731567383
-2067200,2918400,520.727111816,571.42376709,528.238647461,508.816009521,509.561676025,535.63659668,532.721374512,548.642150879,555.638061523
-1945600,2918400,509.561676025,528.238647461,508.816009521,520.369628906,519.145629883,544.703857422,535.63659668,532.721374512,520.727111816
-1824000,2918400,519.145629883,508.816009521,520.369628906,544.931213379,533.323669434,548.289489746,544.703857422,535.63659668,509.561676025
