x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_velocity
-243200,2067200,404.280639648,251.581512451,272.344940186,4.78273820877
-121600,2067200,527.547485352,250.521286011,272.534759521,0.0172012951225
0,2067200,352.272277832,249.629226685,272.597290039,590.315246582
121600,2067200,261.181396484,251.433914185,273.296386719,45.1919975281
243200,2067200,358.309295654,250.613601685,273.66619873,17.1357212067
364800,2067200,101.28717041,251.826675415,273.610137939,32.0875205994
486400,2067200,236.30519104,252.893005371,273.423950195,11.5625858307
608000,2067200,254.874176025,252.892196655,273.565673828,1.71867978573
-364800,1945600,186.801818848,251.436431885,272.184448242,12.7245674133
-243200,1945600,228.084350586,249.175735474,272.485015869,5.34193515778
-121600,1945600,461.252807617,244.585754395,272.646972656,0.0190990045667
0,1945600,247.852111816,245.556732178,272.825622559,0.0385052338243
121600,1945600,137.003936768,239.514190674,273.108215332,0.238733917475
243200,1945600,208.756500244,237.898086548,273.338439941,0.0640606284142
364800,1945600,24.05493927,239.428649902,273.437042236,0.0504080243409
486400,1945600,235.269958496,243.499557495,273.538543701,3.2553460598
608000,1945600,139.978622437,248.213760376,273.798858643,11.4859905243
729600,1945600,73.8946533203,251.535491943,274.15020752,607.577575684
972800,1945600,122.411026001,254.548980713,273.941833496,124.26776123
1094400,1945600,296.400054932,257.117340088,272.80847168,247.499832153
-486400,1824000,313.553070068,250.175125122,272.43157959,59.0580444336
-364800,1824000,232.738769531,250.046356201,272.45123291,17.3451766968
-243200,1824000,125.927696228,243.397171021,272.515930176,0.811231851578
-121600,1824000,165.824188232,237.770812988,272.636535645,0.171598896384
0,1824000,133.575973511,235.86088562,272.758789062,252.204467773
121600,1824000,59.6218109131,232.790740967,272.967346191,17.4647445679
243200,1824000,46.6621208191,229.839523315,273.143463135,0.985712110996
364800,1824000,41.6861381531,231.40335083,273.291625977,8.27336788177
486400,1824000,108.993606567,233.594467163,273.430938721,11.1315765381
608000,1824000,133.421630859,238.842697144,273.607940674,10.4551782608
729600,1824000,-2.95893859863,243.7578125,273.790802002,0.0520413145423
851200,1824000,-7.34898376465,248.107208252,273.887420654,0.0234069246799
972800,1824000,10.9158325195,252.088058472,273.883850098,2118.91137695
1094400,1824000,88.2822799683,251.118560791,273.052581787,41.6685523987
1216000,1824000,189.447814941,252.220901489,272.474212646,6.84981298447
-608000,1702400,170.389312744,251.660720825,272.005767822,276.9480896
-486400,1702400,118.009361267,248.337997437,272.269134521,0.154698655009
-364800,1702400,217.031555176,247.678344727,272.281280518,9.67966270447
-243200,1702400,201.755065918,240.729721069,272.453948975,0.091497682035
-121600,1702400,57.1396179199,231.852828979,272.549346924,0.823786437511
0,1702400,72.2125473022,229.546508789,272.678222656,14.6414880753
121600,1702400,65.1156158447,229.027069092,272.838928223,19.7968139648
