x-axis,y-axis,precipitation,air_temp,ocean_temp,ocean_salinity,ice_mask
-3040000,3040000,699.935241699,292.724517822,,,4.0
-2918400,3040000,678.224731445,274.174041748,,,4.0
-2796800,3040000,692.288513184,273.751647949,,,4.0
-2675200,3040000,700.634521484,273.204681396,,,4.0
-2553600,3040000,688.695556641,272.617889404,,,4.0
-2432000,3040000,672.626647949,272.000732422,,,4.0
-2310400,3040000,658.700744629,271.372833252,,,4.0
-2188800,3040000,632.239685059,270.769317627,,,4.0
-2067200,3040000,597.476501465,270.114715576,,,4.0
-1945600,3040000,577.078613281,269.394012451,,,4.0
-1824000,3040000,563.249389648,268.628723145,,,4.0
-1702400,3040000,532.853942871,268.01159668,,,4.0
-1580800,3040000,500.495300293,267.550872803,,,4.0
-1459200,3040000,469.540405273,267.154907227,,,4.0
-1337600,3040000,437.32144165,266.841583252,272.705383301,12.6590614319,4.0
-1216000,3040000,408.996856689,266.624084473,272.611724854,12.3835353851,4.0
-1094400,3040000,394.199584961,266.458007812,272.541992188,12.0306844711,4.0
-972800,3040000,383.704193115,266.339508057,272.491638184,11.6027441025,4.0
-851200,3040000,380.570068359,266.326416016,272.446899414,11.1026096344,4.0
-729600,3040000,384.07913208,266.307617188,272.416656494,10.5376262665,4.0
-608000,3040000,388.104736328,266.214355469,272.407684326,9.91665649414,4.0
-486400,3040000,396.539398193,266.00869751,272.400238037,9.24667739868,4.0
-364800,3040000,416.103820801,265.637969971,272.389526367,8.53812503815,4.0
-243200,3040000,443.524658203,265.023101807,272.386291504,7.80541229248,4.0
-121600,3040000,462.077789307,264.427978516,272.388580322,7.06516933441,4.0
0,3040000,468.922332764,264.039367676,272.414489746,6.34844732285,4.0
121600,3040000,465.626495361,263.866455078,272.482452393,5.69675970078,4.0
243200,3040000,473.478790283,263.796661377,272.526489258,5.13833045959,4.0
364800,3040000,483.467590332,263.848968506,272.594940186,4.73082494736,4.0
486400,3040000,484.45513916,264.03225708,272.617492676,4.47698068619,4.0
608000,3040000,483.083557129,264.343566895,272.547241211,4.37257432938,4.0
729600,3040000,492.57925415,264.693695068,272.618743896,4.42295455933,4.0
851200,3040000,507.84085083,265.081268311,272.775054932,4.58845472336,4.0
972800,3040000,515.88684082,265.563537598,272.932434082,4.81638336182,4.0
1094400,3040000,531.791381836,266.031433105,273.127868652,5.05273962021,4.0
1216000,3040000,554.650085449,266.521484375,273.311584473,5.23570537567,4.0
1337600,3040000,574.594665527,267.049102783,273.42565918,5.31549024582,4.0
1459200,3040000,593.279846191,267.575134277,,,4.0
1580800,3040000,619.571594238,268.069152832,,,4.0
1702400,3040000,662.153381348,268.569641113,,,4.0
1824000,3040000,697.594848633,269.082824707,,,4.0
1945600,3040000,717.182373047,269.591400146,,,4.0
2067200,3040000,723.985595703,270.078826904,,,4.0
2188800,3040000,741.546875,270.514892578,,,4.0
2310400,3040000,754.796325684,270.880859375,,,4.0
2432000,3040000,747.408630371,271.180511475,,,4.0
2553600,3040000,736.18548584,271.36315918,,,4.0
2675200,3040000,736.859375,271.440887451,,,4.0
2796800,3040000,750.400390625,271.457458496,,,4.0
2918400,3040000,775.636535645,271.423248291,,,4.0
3040000,3040000,872.517944336,289.3019104,,,4.0
-3040000,2918400,745.226013184,274.544006348,,,4.0
-2918400,2918400,766.65637207,274.187530518,,,4.0
-2796800,2918400,764.637023926,273.752746582,,,4.0
-2675200,2918400,741.227600098,273.231262207,,,4.0
-2553600,2918400,700.292053223,272.774719238,,,4.0
-2432000,2918400,655.347106934,272.410522461,,,4.0
-2310400,2918400,631.922485352,271.897033691,,,4.0
-2188800,2918400,613.358825684,271.207977295,,,4.0
-2067200,2918400,580.435852051,270.44833374,,,4.0
-1945600,2918400,567.07421875,269.570709229,,,4.0
-1824000,2918400,551.807434082,268.728179932,,,4.0
-1702400,2918400,518.446166992,268.072052002,,,4.0
-1580800,2918400,491.74786377,267.618743896,272.942596436,13.2592515945,4.0
-1459200,2918400,467.158721924,267.262298584,272.800628662,13.1354827881,4.0
-1337600,2918400,439.720581055,266.982818604,272.681945801,12.939040184,4.0
-1216000,2918400,413.95715332,266.785186768,272.594177246,12.6648921967,4.0
-1094400,2918400,410.065795898,266.571105957,272.534088135,12.3119421005,4.0
-972800,2918400,409.105987549,266.465057373,272.49105835,11.881234169,4.0
-851200,2918400,405.820800781,266.502471924,272.457000732,11.3770046234,4.0
-729600,2918400,405.466888428,266.487701416,272.443664551,10.8086309433,4.0
-608000,2918400,411.852050781,266.301330566,272.434692383,10.1835212708,4.0
-486400,2918400,426.123901367,265.96383667,272.415588379,9.50750637054,4.0
-364800,2918400,439.95803833,265.59262085,272.401428223,8.79279327393,4.0
-243200,2918400,445.874511719,265.003723145,272.399261475,8.05011367798,4.0
-121600,2918400,452.128631592,264.334625244,272.406036377,7.293592453,4.0
0,2918400,451.927154541,263.893035889,272.428985596,6.55232906342,4.0
121600,2918400,464.611785889,263.667694092,272.485870361,5.87267446518,4.0
243200,2918400,477.09866333,263.556365967,272.523834229,5.29224681854,4.0
364800,2918400,492.468109131,263.574645996,272.571624756,4.86877059937,4.0
486400,2918400,491.035400391,263.800872803,272.546386719,4.61424684525,4.0
608000,2918400,480.91293335,264.189788818,272.488220215,4.52763557434,4.0
729600,2918400,481.696746826,264.580627441,272.599243164,4.60229825974,4.0
851200,2918400,491.794525146,265.006103516,272.732574463,4.79089832306,4.0
972800,2918400,503.061737061,265.506195068,272.856750488,5.04461288452,4.0
1094400,2918400,521.714294434,265.978881836,273.063964844,5.31395101547,4.0
1216000,2918400,551.624572754,266.428894043,273.296936035,5.52807569504,4.0
1337600,2918400,578.518676758,266.923370361,273.448486328,5.62537479401,4.0
1459200,2918400,595.493408203,267.46295166,273.512207031,5.58203601837,4.0
1580800,2918400,616.043579102,268.006072998,273.562225342,5.40924072266,4.0
1702400,2918400,652.169067383,268.554504395,,,4.0
1824000,2918400,682.475646973,269.125061035,,,4.0
1945600,2918400,700.793945312,269.684753418,,,4.0
2067200,2918400,710.874023438,270.219848633,,,4.0
2188800,2918400,736.344909668,270.683166504,,,4.0
2310400,2918400,759.604187012,271.071350098,,,4.0
2432000,2918400,764.24621582,271.376159668,,,4.0
2553600,2918400,756.280639648,271.548736572,,,4.0
2675200,2918400,749.679138184,271.613647461,,,4.0
2796800,2918400,748.57623291,271.617492676,,,4.0
2918400,2918400,760.782348633,271.591247559,,,4.0
3040000,2918400,798.898010254,271.439422607,,,4.0
-3040000,2796800,822.78527832,274.677001953,,,4.0
-2918400,2796800,827.951660156,274.298980713,,,4.0
-2796800,2796800,800.408203125,273.847351074,,,4.0
-2675200,2796800,757.740783691,273.35546875,,,4.0
-2553600,2796800,700.056762695,272.988342285,,,4.0
-2432000,2796800,636.713562012,272.831848145,,,4.0
-2310400,2796800,604.338012695,272.46206665,,,4.0
-2188800,2796800,606.914611816,271.613098145,,,4.0
-2067200,2796800,600.032592773,270.58782959,,,4.0
-1945600,2796800,586.584655762,269.598754883,,,4.0
-1824000,2796800,566.678894043,268.717041016,,,4.0
-1702400,2796800,531.794128418,268.071228027,273.032440186,13.638584137,4.0
-1580800,2796800,504.678436279,267.612182617,272.866790771,13.5952615738,4.0
-1459200,2796800,480.625244141,267.225189209,272.732727051,13.484380722,4.0
-1337600,2796800,462.542327881,266.906280518,272.634033203,13.2964200974,4.0
-1216000,2796800,450.49017334,266.659210205,272.567718506,13.0260601044,4.0
-1094400,2796800,452.038787842,266.455596924,272.524810791,12.671587944,4.0
-972800,2796800,447.145080566,266.444580078,272.489746094,12.2338943481,4.0
-851200,2796800,428.785308838,266.59362793,272.467285156,11.7205400467,4.0
-729600,2796800,424.404418945,266.521636963,272.457855225,11.1401863098,4.0
-608000,2796800,434.050689697,266.198547363,272.440612793,10.5007419586,4.0
-486400,2796800,452.079071045,265.752227783,272.41619873,9.81087398529,4.0
-364800,2796800,460.338104248,265.299041748,272.401397705,9.08097267151,4.0
-243200,2796800,442.337402344,264.763641357,272.390441895,8.31328487396,4.0
-121600,2796800,435.918395996,264.155731201,272.395141602,7.51205205917,4.0
0,2796800,440.223846436,263.749145508,272.417602539,6.69957733154,4.0
121600,2796800,456.72567749,263.572601318,272.467468262,5.93513774872,4.0
243200,2796800,470.570770264,263.447387695,272.517303467,5.29233264923,4.0
364800,2796800,482.349273682,263.472503662,272.541442871,4.83218002319,4.0
486400,2796800,490.619567871,263.665252686,272.500030518,4.58411312103,4.0
608000,2796800,491.182220459,263.940338135,272.463989258,4.5400929451,4.0
729600,2796800,489.285766602,264.289398193,272.555877686,4.66654253006,4.0
851200,2796800,486.38571167,264.78604126,272.67590332,4.92285203934,4.0
972800,2796800,494.554748535,265.374633789,272.819885254,5.26460838318,4.0
1094400,2796800,513.718200684,265.925048828,273.000274658,5.62519073486,4.0
1216000,2796800,541.124389648,266.427093506,273.227172852,5.91740465164,4.0
1337600,2796800,569.918273926,266.902618408,273.43649292,6.06339597702,4.0
1459200,2796800,589.129333496,267.431304932,273.527923584,6.02430438995,4.0
1580800,2796800,603.252624512,268.004638672,273.569580078,5.81945180893,4.0
1702400,2796800,636.880249023,268.575683594,273.635803223,5.49217844009,4.0
